,frequency,Z,phi,ReZ,ImZ
0,1000000.0,10.021,1.505,10.017520117666901,0.26318021883392584
1,958000.0,10.033,1.415,10.029918870084574,0.24772910207440374
2,919000.0,9.973700000000001,1.415,9.970679917436428,0.2462966553122764
3,881000.0,10.05,1.09,10.048181427167382,0.19118056054021312
4,844000.0,10.065,0.9400000000000001,10.063645482923159,0.16510353298970742
5,809000.0,10.006,0.81,10.005012387433077,0.14146591725259358
6,775000.0,10.011000000000001,0.615,10.010413734548973,0.10744293589298365
7,743000.0,10.014,0.49,10.013633797049023,0.08563981899548376
8,712000.0,10.077,0.25,10.076882970600082,0.04397124931703357
9,683000.0,10.081,0.07500000000000001,10.080991324855075,0.013195994323272104
10,655000.0,10.079,-0.1,10.078984648809028,-0.017591164599889055
11,627000.0,10.092,-0.335,10.09184260142032,-0.05900566767233707
12,601000.0,10.029,-0.48,10.028648065124882,-0.08401777113773447
13,576000.0,10.031,-0.58,10.030494834305017,-0.10156141805815516
14,552000.0,10.082,-0.91,10.080837744544427,-0.16011265367195565
15,530000.0,10.083,-1.125,10.081107887821737,-0.19797629354808696
16,508000.0,10.075500000000002,-1.28,10.072966119438503,-0.22508127700644867
17,486000.0,10.038,-1.37,10.035151458715102,-0.23999585534382784
18,466000.0,10.051,-1.5750000000000002,10.047154355187496,-0.27624271062137007
19,447000.0,10.099,-1.82,10.093905408461907,-0.32074071307435625
20,428000.0,10.0655,-1.9100000000000001,10.059907593480693,-0.33547923829721416
21,411000.0,10.112,-2.145,10.104947568786887,-0.3784775910618645
22,394000.0,10.077,-2.255,10.069368329214921,-0.39649986655715797
23,377000.0,10.124,-2.5200000000000005,10.114402347270477,-0.4451332230702975
24,362000.0,10.134,-2.73,10.122498651378312,-0.48272459477525687
25,347000.0,10.137,-2.89,10.124107480644623,-0.5110936512573848
26,332000.0,10.112,-3.11,10.096624619333111,-0.5486072429069959
27,318000.0,10.155,-3.33,10.137853681701532,-0.5898709421650274
28,305000.0,10.128,-3.505,10.109109238416668,-0.6192123141689689
29,293000.0,10.17,-3.75,10.148225249336598,-0.66518252583517
30,280000.0,10.148,-3.95,10.123893876723002,-0.6990541987932519
31,269000.0,10.157,-4.19,10.12985282250032,-0.7421123866923985
32,258000.0,10.198,-4.4,10.167943967210133,-0.7823806488372966
33,247000.0,10.18,-4.65,10.146492653743874,-0.8252798480040526
34,237000.0,10.191500000000001,-4.9,10.154328972851506,-0.8703984467697745
35,227000.0,10.205,-5.16,10.163643516998556,-0.9178101434246614
36,217000.0,10.221,-5.42,10.175302460445705,-0.9654329797803657
37,208000.0,10.236,-5.69,10.185654581221522,-1.0148096841574892
38,200000.0,10.2705,-5.975,10.214704539340563,-1.0691026307586582
39,191000.0,10.293000000000001,-6.275,10.231430114389028,-1.1250857131965875
40,184000.0,10.290500000000002,-6.5,10.224351015235307,-1.1649176712786442
41,176000.0,10.311,-6.82,10.23804056864002,-1.2244371420702422
42,169000.0,10.358,-7.13,10.277902458970667,-1.2855837086871236
43,162000.0,10.36,-7.42,10.273246850011407,-1.3377793598815675
