,frequency,Z,phi,ReZ,ImZ
0,1000000.0,4293.9,99.705,-717.6860146515658,4253.962238509929
1,500000.0,6623.950000000001,-39.34,4976.145279276287,-4147.971262948856
2,200000.0,55985.0,-65.83500000000001,22871.49486720966,-51074.797693254746
3,100000.0,106500.0,-47.07,72653.0666438182,-77428.35241970843
4,50000.0,149300.0,-29.835,129559.3386782658,-74140.35342373193
5,20000.0,176050.0,-13.74,171054.0605400526,-42104.722540506926
6,10000.0,181105.0,-6.635,179888.35324525996,-20866.62976059893
7,5000.0,180325.0,-3.12,179997.00172160918,-9793.386853060936
8,2000.0,180240.0,-1.185,180154.69909037283,-3731.2924109274827
9,1000.0,180670.0,-0.675,180659.5750526206,-2128.310841113876
10,500.0,179685.0,-0.14,179684.13251910364,-438.54756525204607
11,200.0,177950.0,0.235,177947.01388373086,733.8582765086178
12,120.0,178005.0,0.315,178000.91018513383,978.3162468330638
13,100.0,178600.0,-0.07,178483.79466693598,-217.36606694456202
14,60.0,172440.0,0.885,172176.36857314166,2575.692699798031
15,50.0,164600.0,-52.75,101332.57616725293,-130819.08186318277
16,25.0,175825.0,2.265,175319.5344789229,6913.6431891576085
