,frequency,Z,phi,ReZ,ImZ
0,1000000.0,4338.200000000001,117.14,-1979.3185494023342,3857.86869046631
1,974000.0,3709.05,120.69500000000001,-1885.193514182044,3180.205023055807
2,949000.0,3159.4000000000005,128.34,-1972.2868792680124,2459.6355495536573
3,924000.0,2876.55,134.67000000000002,-1986.47276003379,2040.86282341261
4,900000.0,2120.05,146.54000000000002,-1771.5352173919803,1147.614431718088
5,877000.0,1231.7,152.44,-1091.8099651679704,565.4309356238359
6,854000.0,494.45000000000005,160.385,-433.1594666957727,93.1680423502685
7,832000.0,1936.0,-47.33,1291.4489814801182,-1432.173229810225
8,810000.0,580.1,-27.545,515.347237035592,-267.14774403815187
9,789000.0,970.4100000000001,-28.635,864.6491127846124,-455.22051455746634
10,769000.0,1287.7,-23.435000000000002,1181.1131834735781,-514.1532747028491
11,749000.0,1535.3000000000002,-23.39,1406.1573546196992,-611.4929633685265
12,729000.0,1828.8500000000001,-22.009999999999998,1698.768937771064,-688.4613680446195
13,710000.0,2003.5500000000002,-21.09,1864.8025988483587,-712.315861719426
14,692000.0,2255.7,-21.285,2104.0097647042057,-821.6831064768653
15,674000.0,2228.7,-21.32,2045.1135505921218,-820.4035591060363
16,657000.0,2697.3,-20.07,2529.5639614796746,-934.1929950905219
17,640000.0,3036.75,-22.67,2802.0232583048664,-1144.1289483330488
18,623000.0,3055.0,-22.095,2839.015724727539,-1132.7543202226134
19,607000.0,2815.2000000000003,-21.405,2493.921058390769,-1013.5549735551099
20,591000.0,3215.15,-21.415,3033.346507033711,-1313.1086306061243
21,576000.0,3556.0,-21.12,3303.671919064182,-1278.1895537610376
22,561000.0,3959.55,-18.615000000000002,3702.5393650861024,-1251.3456484635922
23,546000.0,3836.05,-21.555,3557.236876744556,-1396.1238544787698
24,532000.0,4363.1,-17.645000000000003,4091.7392353124887,-1193.7614546392228
25,518000.0,4281.2,-17.96,4030.0932082631152,-1321.231632860094
26,505000.0,4398.1,-20.135,4126.571432149597,-1506.585367477369
27,492000.0,4559.05,-23.805,4096.960568174643,-1689.3198096576157
28,479000.0,5315.700000000001,-15.92,4899.6098207412415,-1358.2782810799868
29,466000.0,4900.75,-22.509999999999998,4523.193464850433,-1799.0921106304334
30,454000.0,2622.8,-14.275,1687.872351166215,-613.0466411907153
31,443000.0,5125.1,-20.910000000000004,4725.7290756526545,-1882.5432872669762
32,431000.0,4573.700000000001,-11.95,4375.093997027658,-857.3826424593191
33,420000.0,5202.75,-13.465,4890.496305573162,-1198.6189394603284
34,409000.0,5464.950000000001,-21.82,5092.732093664725,-2046.087504195502
35,398000.0,5497.1,-15.355,5307.201237273559,-1479.987816521397
36,388000.0,5549.55,-18.645000000000003,5267.239008208948,-1747.3629472648036
37,378000.0,5583.3,-22.465,5180.705833225574,-2154.9909730952786
38,368000.0,5773.5,-16.92,5495.226600261294,-1678.8691290148495
39,359000.0,6161.150000000001,-18.715,5809.586291693075,-1956.978597923943
40,349000.0,6320.75,-15.395,6102.902731594599,-1677.7349233423834
41,340000.0,6480.700000000001,-14.685,6259.858242978415,-1632.7265593398843
42,331000.0,6201.25,-18.78,5832.506618453302,-1991.1505435987615
43,323000.0,6228.9,-21.240000000000002,5980.2314594806485,-2085.9301478371076
44,314000.0,6624.5,-18.545,6319.707727903183,-2152.6460476008424
45,306000.0,6075.150000000001,-20.53,5601.248521698878,-2142.3646077964822
46,298000.0,6786.1,-16.475,6498.345311010651,-1954.2263175110652
47,291000.0,6927.550000000001,-17.725,6618.991577820901,-2085.6300829601823
48,283000.0,6533.4,-19.1,6214.410966771432,-2135.4397229977026
49,276000.0,6815.050000000001,-17.68,6522.773842704853,-2084.192740979095
50,269000.0,6811.1,-17.335,6562.673885893529,-1973.5382864709732
51,262000.0,7217.85,-12.010000000000002,7045.500151800133,-1519.46932772893
52,255000.0,7305.1,-11.66,7127.246436480435,-1423.3404989747148
53,248000.0,7112.800000000001,-13.72,6912.500844276027,-1665.5304881684933
54,242000.0,7240.75,-19.03,6892.622659668581,-2383.6139302530287
55,235000.0,7220.150000000001,-14.43,6948.4704565020465,-1767.0636115818374
56,229000.0,7324.950000000001,-17.049999999999997,7038.387112941886,-2179.154993623517
57,223000.0,7111.8,17.985,5029.1825374868595,1956.5758372403554
58,218000.0,7440.150000000001,-14.74,7222.939582009176,-1779.8921228501165
59,212000.0,6542.25,-16.585,6106.2560265089305,-1434.7783158889633
60,206000.0,7595.700000000001,-13.705000000000002,7461.153552555608,-1741.1434692086932
61,201000.0,4356.3,-14.45,4068.8354558836727,-1094.4764288969454
62,196000.0,8401.7,-18.630000000000003,7947.905502146847,-3094.269154696265
