,frequency,Z,phi,ReZ,ImZ
0,1000000.0,16.125999999999998,15.805,15.521783361387826,4.385744383350311
1,974000.0,16.0255,13.995000000000001,15.548108458220664,3.871486764332777
2,949000.0,15.911000000000001,12.52,15.537514395102354,3.4519584350996313
3,924000.0,15.8155,10.785,15.536779975686063,2.960340099088783
4,900000.0,15.7895,8.96,15.594008542416399,2.460691100313551
5,877000.0,15.752500000000001,7.395,15.61845194641665,2.025966509206662
6,854000.0,15.721499999999999,5.635,15.64600687338427,1.5441755314619927
7,832000.0,15.714500000000001,3.915,15.676958486406095,1.073031350296275
8,810000.0,15.7735,2.3,15.760292954097164,0.6324544460953682
9,789000.0,15.829,0.68,15.828010344031032,0.18715773390793228
10,769000.0,15.911000000000001,-0.875,15.908929214633936,-0.2433164448394747
11,749000.0,15.9335,-2.4450000000000003,15.917716186754495,-0.6818002639093222
12,729000.0,16.0415,-4.05,16.00183464983987,-1.1315502550961867
13,710000.0,16.1645,-5.515000000000001,16.086966876477142,-1.5522185966560444
14,692000.0,16.266000000000002,-6.87,16.14712934916178,-1.9443958731400603
15,674000.0,16.4105,-8.395,16.238561663335005,-2.3969587254408444
16,657000.0,16.526,-9.64,16.288288057492544,-2.7667035037838756
17,640000.0,16.700000000000003,-11.030000000000001,16.39231269171652,-3.199011619982401
18,623000.0,16.871,-12.32,16.481220500085634,-3.6138641492782737
19,607000.0,17.0485,-13.620000000000001,16.58006394496054,-4.0157874288908335
20,591000.0,17.261000000000003,-14.9,16.682043216588603,-4.43947196196847
21,576000.0,17.464,-16.13,16.777970442495654,-4.852423326779142
22,561000.0,17.6725,-17.22,16.875576740546435,-5.241566219347444
23,546000.0,17.900000000000002,-18.37,16.99252549311349,-5.644660011252498
24,532000.0,18.1615,-19.425,17.140921760742543,-6.0427804957291595
25,518000.0,18.457,-20.445,17.281567607020325,-6.442263691832493
26,505000.0,18.711,-21.44,17.40564021948797,-6.840783655431099
27,492000.0,18.9725,-22.3,17.544175304743746,-7.1946785127497
28,479000.0,19.305,-23.215,17.73954102737426,-7.59977035774221
