i,x_c_Nodes_square,delta_Nodes_square,x_c_Nodes_hexagonal,delta_Nodes_hexagonal,x_c_Nodes_triangular,delta_Nodes_triangular,x_c_Edges_square,delta_Edges_square,x_c_Edges_hexagonal,delta_Edges_hexagonal,x_c_Edges_triangular,delta_Edges_triangular
3,0.4871700000000001,0.12993417987581252,0.7180500000000001,0.11171167127923562,0.4590100000000001,0.12737001177671306,0.52677,0.1124342790255712,0.7265499999999999,0.09104612841851101,0.4067,0.1046962750053697
5,0.5387199999999999,0.11223529569614007,0.73787,0.09711520529762578,0.4881200000000001,0.11196993167810723,0.5143000000000001,0.08572928321174743,0.71745,0.08322137646061857,0.38548,0.08026188136344674
7,0.55329,0.09126267528403932,0.7413599999999999,0.08301656702128797,0.49823999999999996,0.0925424356714259,0.5084500000000001,0.0727619234215259,0.70938,0.07203204564636492,0.36994,0.06236181844686699
9,0.5653299999999999,0.08643778745433042,0.74026,0.0704835612040141,0.5031399999999999,0.08338069560755655,0.5078,0.06543515874512723,0.70423,0.06574501578066584,0.36402,0.0543952167014711
11,0.5653600000000001,0.08155654725403717,0.73578,0.06530077794329865,0.4968400000000001,0.07486130108407146,0.50454,0.058147987067481526,0.6988399999999999,0.053505648299969226,0.36700000000000005,0.05117225810925291
13,0.5699500000000001,0.0702559428091318,0.72711,0.0596820567675076,0.49856999999999996,0.06881754936061005,0.50449,0.05159592910298254,0.6934400000000001,0.05216096624871897,0.36484,0.04294385171360389
15,0.56875,0.06706815563290823,0.7273299999999999,0.05872964413309518,0.49968,0.06315930335271283,0.5031899999999999,0.04722842258640448,0.6910599999999999,0.04747290174404762,0.36058,0.04067755646545156
17,0.57239,0.05954819812555204,0.7253599999999999,0.04874084939760488,0.4990700000000001,0.05694940824977904,0.50367,0.04194795704203008,0.6866,0.044978216949985904,0.35934000000000005,0.03810202619284176
19,0.5700700000000001,0.057132259713755414,0.71977,0.04886764880777466,0.4961600000000001,0.05610039572052946,0.50271,0.04002194273145671,0.6843899999999999,0.04129198348348018,0.35584000000000005,0.034795034128449996
21,0.5721700000000001,0.0511272050869202,0.7211300000000002,0.04506465466416003,0.49746,0.0520321861927788,0.50156,0.037327823402925606,0.68214,0.03886670040021405,0.3555,0.031892789153662934
23,0.5714000000000001,0.05238358521521794,0.71824,0.042566446880142585,0.49872,0.045325065912803705,0.49977,0.035682588190881014,0.6813899999999999,0.036613766536645734,0.35316,0.03118997274766363
25,0.5726100000000001,0.04826476872419466,0.7165600000000001,0.04255780069505472,0.49751999999999996,0.04634489831685901,0.5009399999999999,0.032642248697049056,0.6793399999999999,0.03458850097937173,0.35388000000000003,0.0277298683732902
27,0.57377,0.04349812754590707,0.71407,0.03838925761199349,0.4996,0.04311426678026661,0.5012300000000001,0.033361461298929945,0.6775699999999999,0.03360349832978702,0.3536,0.02781078927322991
29,0.57518,0.04251785036899208,0.7101,0.037722539681203864,0.49696,0.04229608019663289,0.50137,0.029216829054502142,0.6772699999999999,0.030253051085799575,0.35278000000000004,0.024545296901850665
31,0.57487,0.04168432679077352,0.71246,0.03679060206085244,0.49703,0.0376786292213504,0.5015,0.03096368841078208,0.67467,0.03005147417349104,0.35396000000000005,0.025688876970393234
33,0.5746,0.04098341127822328,0.7106600000000001,0.03476153621461514,0.49743999999999994,0.038869607664600896,0.50115,0.0288925163320885,0.67506,0.02914097458905585,0.35323999999999994,0.0222688661588326
35,0.57277,0.03743029655239187,0.71025,0.03353561539617246,0.49808,0.035918151400092975,0.50146,0.027262949216840072,0.67516,0.027202470476043145,0.35098,0.022707699134874935
37,0.57387,0.03724678643856405,0.7079099999999999,0.03256580875703841,0.49791,0.03423933264536563,0.5010899999999999,0.025793640689131123,0.6743499999999999,0.026156786882184115,0.35156,0.020375632505519915
39,0.5755,0.033694955112004515,0.7069300000000001,0.03168714408084136,0.49688000000000004,0.03272713858558369,0.49999,0.02452141716948677,0.67098,0.02561717392687959,0.35323999999999994,0.02104999762470295
41,0.5751900000000001,0.03596336886333091,0.7046399999999999,0.03036890514984035,0.49631,0.03218204312967095,0.49943000000000004,0.023832228179505168,0.67089,0.02452158029165329,0.35394000000000003,0.020451806766151492
43,0.57401,0.03358600750312545,0.70304,0.029552637784130188,0.49703,0.03058233313532505,0.50136,0.02380652011529616,0.67175,0.02448749680959651,0.35174,0.019151302827745163
45,0.5748300000000001,0.03211808057776802,0.7060299999999999,0.02889531276868274,0.49671,0.030637818133803205,0.50078,0.022999817390579443,0.6701600000000001,0.023498391434308843,0.35296000000000005,0.018953585412791952
47,0.5739500000000001,0.02881488330706892,0.7047800000000001,0.02871500652968757,0.49654,0.028436392176223776,0.50048,0.023008033379669817,0.67006,0.02319043768452849,0.35064,0.018209623829173405
49,0.57547,0.029040989996899195,0.7024900000000001,0.0271311610514552,0.49587,0.029415014873360183,0.5009600000000001,0.0212197643719246,0.6689400000000001,0.022424905796903573,0.35228000000000004,0.01699416370404851
51,0.5754600000000001,0.030413621948067925,0.7020000000000001,0.02688494002225036,0.4953400000000001,0.02848305461147032,0.49995,0.02099755938198534,0.6684300000000001,0.021336239125019186,0.35031999999999996,0.016574003740798413
53,0.5754600000000001,0.028519964936864824,0.70024,0.02709506228079203,0.49735,0.02703104696455541,0.50067,0.02125678950359156,0.67004,0.022847284302516115,0.3514,0.016469365500832136
55,0.57477,0.027726288969135395,0.7006199999999999,0.025239167973608,0.4971,0.025740823607647068,0.5008699999999999,0.01914009143133857,0.6681300000000001,0.021104575333325225,0.35122000000000003,0.01659854210465485
57,0.5755100000000001,0.026719653815122663,0.6993699999999999,0.025050011976045027,0.4962500000000001,0.02674766344935573,0.50085,0.01896780166492681,0.66801,0.020536306873437576,0.3511,0.016080733814101886
