,frequency,Z,phi,ReZ,ImZ
0,1000000.0,100.155,-0.87,100.14358604645119,-1.5207315862653765
1,958000.0,99.9915,-0.85,99.98049683288195,-1.4834235257731812
2,919000.0,100.26,-0.9550000000000001,100.24577970984737,-1.671128604032251
3,881000.0,100.07000000000001,-0.9400000000000001,100.05653288386694,-1.6420123824463253
4,844000.0,100.33500000000001,-1.04,100.31815063901492,-1.8211231431618087
5,809000.0,100.11,-1.04,100.09302911060807,-1.8170392969744222
6,775000.0,100.37,-1.1350000000000002,100.35082431531083,-1.9881481675657158
7,743000.0,100.16,-1.17,100.13929553839874,-2.0450582441097396
8,712000.0,100.17,-1.2149999999999999,100.1483896449907,-2.123702314009905
9,683000.0,100.42500000000001,-1.315,100.39894892236653,-2.3048880052960614
10,655000.0,100.45,-1.3800000000000001,100.42065333607584,-2.4191589488163494
11,627000.0,100.185,-1.405,100.15509220695742,-2.4562340447014286
12,601000.0,100.445,-1.5,100.41058000716984,-2.629343572784318
13,576000.0,100.24000000000001,-1.55,100.20449536263256,-2.7123689400823947
14,552000.0,100.22,-1.6150000000000002,100.1791972681755,-2.824531127955961
15,530000.0,100.23500000000001,-1.67,100.19217012331293,-2.9211357472094903
16,508000.0,100.24000000000001,-1.755,100.19297924405905,-3.070074999106269
17,486000.0,100.505,-1.87,100.45176037721278,-3.279828545934619
18,466000.0,100.305,-1.92,100.24897943029683,-3.3606237654489757
19,447000.0,100.34,-2.0100000000000002,100.27826287366199,-3.5193174111956185
20,428000.0,100.61,-2.13,100.54048555209232,-3.739366918278694
21,411000.0,100.41,-2.2,100.33564924597357,-3.854136032387003
22,394000.0,100.43,-2.305,100.34909157293973,-4.038188836915177
23,377000.0,100.48,-2.4,100.39185585211136,-4.207456308441333
24,362000.0,100.52,-2.495,100.42470909898005,-4.375857108820654
25,347000.0,100.56,-2.61,100.45568280090963,-4.579234980106633
26,332000.0,100.60000000000001,-2.725,100.48790710809406,-4.783232664659313
27,318000.0,100.89,-2.85,100.76477340996351,-5.016389409608892
28,305000.0,100.93,-2.98,100.79443091543804,-5.246564935721412
29,293000.0,100.98,-3.09,100.83270875320954,-5.443279907543455
30,280000.0,101.03,-3.23,100.86950366598008,-5.692462575971242
31,269000.0,101.08,-3.36,100.90624229886726,-5.924243843925633
32,258000.0,100.89,-3.49,100.70396363953442,-6.141611276766325
33,247000.0,100.96000000000001,-3.63,100.75744542432848,-6.392088200539105
34,237000.0,101.025,-3.77,100.8069640525632,-6.6428683582336046
35,227000.0,101.33,-3.94,101.09051182219662,-6.962565585064623
36,217000.0,101.41,-4.11,101.1492027957054,-7.268209806634743
37,208000.0,101.49000000000001,-4.28,101.20696928403899,-7.573517244582638
38,200000.0,101.34,-4.43,101.03724123363108,-7.827610356746172
39,191000.0,101.44,-4.62,101.11040348753957,-8.170673569966146
40,184000.0,101.76,-4.79,101.40459797062965,-8.497359025895971
41,176000.0,101.66,-4.98,101.27623964971187,-8.824901269370054
42,169000.0,101.76,-5.17,101.34601154310083,-9.169707972758754
43,162000.0,102.12,-5.38,101.670136273142,-9.575320771516921
44,155000.0,102.04,-5.6000000000000005,101.55474023440603,-9.957359091423612
45,148000.0,102.41,-5.835,101.88030060956295,-10.411411004714697
46,142000.0,102.35000000000001,-6.0600000000000005,101.77994104141446,-10.805075852303842
47,136000.0,102.52,-6.29,101.90283908991766,-11.232176343627593
48,131000.0,102.9,-6.51,102.23752663748527,-11.665887628236867
49,125000.0,103.12,-6.78,102.39885898785188,-12.174074009386787
50,120000.0,103.09,-7.03,102.31499050820987,-12.617084342466875
51,115000.0,103.535,-7.285,102.69923128480451,-13.128748488587915
52,110000.0,103.78,-7.58,102.87313362723883,-13.689659517762369
53,106000.0,104.01,-7.8100000000000005,103.04521765014442,-14.133761687334486
54,101000.0,104.33,-8.145,103.27759043039798,-14.779215847740879
55,97000.0,104.60000000000001,-8.44,103.46719316065538,-15.352522250615051
56,93000.0,104.91,-8.74,103.69178990099242,-15.941167056663314
57,89000.0,105.06,-9.06,103.7492694728232,-16.54365992927553
58,86000.0,105.33,-9.32,103.93956457170282,-17.058013267811123
59,82000.0,105.78,-9.68,104.27392794087231,-17.78640918740404
60,79000.0,106.13,-9.97,104.52728204870881,-18.374553260138764
61,75000.0,106.68,-10.38,104.93412034788811,-19.22025379012296
62,72000.0,107.15,-10.71,105.28348735700128,-19.912553576780457
63,69000.0,107.65,-11.06,105.65059830700632,-20.651236703199977
64,66000.0,108.2,-11.43,106.05412859747393,-21.442056977595694
65,64000.0,108.62,-11.68,106.37086399788676,-21.98962692596401
66,61000.0,109.33,-12.09,106.90503952192927,-22.897892142352315
67,58000.0,110.10000000000001,-12.530000000000001,107.47769829034705,-23.88627995752228
68,56000.0,110.66,-12.83,107.89717591687275,-24.57305494161063
69,54000.0,111.28,-13.13,108.37082470102484,-25.27850378522713
70,51000.0,112.35000000000001,-13.61,109.19520590322666,-26.437274968346003
71,49000.0,113.14,-13.955000000000002,109.80319074875696,-27.28601967852238
72,47000.0,114.01,-14.31,110.4725669454951,-28.17963896988576
73,45000.0,114.95,-14.68,111.19760347530622,-29.13066221953365
74,43000.0,115.99000000000001,-15.05,112.01149617428867,-30.11818096760358
75,42000.0,116.55,-15.24,112.45131141119931,-30.63666205547654
76,40000.0,117.77,-15.6,113.43165549176021,-31.673376472065996
77,38000.0,119.17,-15.99,114.5592875660015,-32.824955129442216
78,37000.0,119.93,-16.18,115.17969424164481,-33.419200086196184
79,35000.0,121.57000000000001,-16.580000000000002,116.51539173280786,-34.690465395412815
80,34000.0,122.45500000000001,-16.78,117.2409065513895,-35.35390954077384
81,32000.0,124.36,-17.16,118.82085860739234,-36.69130720756107
82,31000.0,125.39,-17.34,119.69139565736418,-37.37140491863137
83,30000.0,126.52,-17.51,120.65762661377052,-38.066357061478016
84,28000.0,129.03,-17.830000000000002,122.83258594648018,-39.508185603752544
85,27000.0,130.41500000000002,-17.990000000000002,124.0390674391368,-40.28034728871574
86,26000.0,131.87,-18.150000000000002,125.30870969617264,-41.07826888125071
87,25000.0,133.41,-18.28,126.67746753063206,-41.84551732295421
88,24000.0,135.01,-18.38,128.12261823930777,-42.5710558420225
89,23000.0,136.75,-18.46,129.7135211640587,-43.30086520176353
90,22000.0,138.61,-18.52,131.43178136616945,-44.02747945221756
91,21000.0,140.59,-18.54,133.29364663893807,-44.70292905049865
92,20000.0,142.72,-18.54,135.31310369378505,-45.38019798056168
93,19000.0,145.01,-18.490000000000002,137.52444181664652,-45.98834638275016
94,18000.0,147.46,-18.39,139.92937828687647,-46.52118541318814
95,17000.0,150.06,-18.25,142.51185087785368,-46.99336080095146
96,16000.0,152.84,-18.06,145.30993895215272,-47.38235158496939
97,15000.0,155.74,-17.8,148.2846316256607,-47.60898679495408
98,14000.0,158.79,-17.465,151.46569520563486,-47.658055149968234
99,13000.0,161.96,-17.04,154.8500222381534,-47.460638563375895
100,12000.0,165.25,-16.5,158.4449611869689,-46.93353571232322
101,11000.0,168.64000000000001,-15.85,162.2283102075365,-46.05892928854627
102,10000.0,172.53,-15.040000000000001,166.6199677925339,-44.77038343386123
103,9000.0,176.19,-14.17,170.82918309315048,-43.130044284550735
