,frequency,Z,phi,ReZ,ImZ
0,1000000.0,4719.85,91.045,-92.82540756676309,4674.643273042103
1,958000.0,3539.05,91.95,-117.52095148649211,3535.978418675707
2,919000.0,2608.9,104.07000000000001,-636.3572879210553,2522.4043266367685
3,881000.0,1509.7000000000003,109.64500000000001,-504.24209914254965,1419.273199030951
4,844000.0,1230.7,28.269999999999996,407.8381864288664,-841.0514987100851
5,809000.0,820.25,-67.76,304.87453355476805,-768.7785560695086
6,775000.0,1791.35,-64.66,732.8378494635008,-1614.6636692319425
7,743000.0,2497.3,-58.74,1342.5887216209414,-2187.5885632423624
8,712000.0,3339.55,-59.650000000000006,1699.0680793297781,-2899.235654179513
9,683000.0,3945.2000000000003,-63.775000000000006,1669.2595698860591,-3520.8165094703118
10,655000.0,4342.450000000001,-63.275000000000006,1973.388886132937,-3867.799680345578
11,627000.0,5491.450000000001,-64.83500000000001,2370.922489162889,-4841.1470510018535
12,601000.0,6136.9,-64.89,2598.396196501237,-5523.434862808537
13,576000.0,6673.25,-67.225,2803.4455663230365,-6130.743079574879
14,552000.0,7161.15,-69.1,2331.118343101347,-6408.221883636951
15,530000.0,8099.650000000001,-66.66,2873.682739777069,-7442.250230603977
16,508000.0,8683.45,-64.57,3378.092936785426,-7741.399338438371
17,486000.0,40223.0,33.54,33511.04539853388,22203.633025308278
18,466000.0,35465.0,29.990000000000002,30698.32137780032,17775.041507533926
19,447000.0,30514.0,24.59,27732.210635894236,12699.093954258085
20,428000.0,25376.5,17.950000000000003,24128.889732087096,7806.44517312557
21,411000.0,20621.5,10.115,20298.073673750656,3630.747367885922
22,394000.0,15901.0,-0.75,15899.896491894999,-208.3373161556202
23,377000.0,11800.0,-15.295000000000002,11382.530943719708,-3113.7537225674396
24,362000.0,9715.5,-30.740000000000002,8351.51465904084,-4968.29474545379
25,347000.0,9983.95,-46.53,6867.797071121208,-7243.231391978535
26,332000.0,16718.0,-75.92,4072.2878849366944,-16215.228925298268
27,318000.0,19702.0,-90.05,-17.21243489849581,-19701.92046720939
28,305000.0,23593.5,-97.72,-3164.5452801953547,-23378.76293832545
29,293000.0,27970.5,-101.92,-5752.219701914173,-27389.173964372952
30,280000.0,33761.5,-105.075,-8765.287567271891,-32601.110497584486
31,269000.0,39310.0,-106.49000000000001,-11190.970022974187,-37753.85035878423
32,258000.0,45834.0,-107.435,-13770.899800083389,-43692.74299328361
33,247000.0,52875.5,-107.99000000000001,-16326.2092047662,-50237.94859438675
34,237000.0,59607.0,-108.285,-18794.510302933068,-56589.08205920299
35,227000.0,67571.0,-108.25999999999999,-21286.785837438994,-64198.38377649977
36,217000.0,76759.5,-108.07,-23940.3776264977,-72745.56903751001
37,208000.0,85544.0,-107.845,-25869.095424434046,-81286.56061418366
38,200000.0,93055.0,-107.28,-27471.116609013086,-89293.23137497152
39,191000.0,103850.0,-107.26500000000001,-30802.638672135916,-99124.69403563286
40,184000.0,112750.0,-106.26,-31817.282144341098,-108472.74062077134
41,176000.0,120800.0,-105.95500000000001,-33274.284934618336,-116321.38968891243
42,169000.0,131650.0,-106.32000000000001,-37050.07771355334,-126537.40253940594
43,162000.0,145800.0,-104.81,-37596.37274260317,-141393.78177054616
44,155000.0,153100.0,-103.825,-36570.89127389109,-148796.61831517352
45,148000.0,167250.0,-104.4,-41595.90796771948,-161219.12644977006
46,142000.0,178550.0,-102.305,-38914.53537076307,-174214.8207844795
47,136000.0,185200.0,-103.65,-43209.2839169606,-180562.52519988728
48,131000.0,200950.0,-103.445,-46916.5068882507,-195253.27580641716
49,125000.0,215400.0,-100.11500000000001,-37693.65016968513,-211797.18082561638
50,120000.0,226250.0,-101.89,-45945.1995202214,-222960.2118790313
51,115000.0,244600.0,-98.44,-37377.228053396335,-242008.61152710958
52,110000.0,244800.0,-100.875,-47701.33443803826,-239741.1543594667
53,106000.0,264700.0,-98.12,-37127.70842576439,-261662.99815474293
54,101000.0,282900.0,-99.7,-45228.17201105892,-277655.2499835213
55,97000.0,290100.0,-103.035,-65531.223933475834,-282676.0339607464
56,93000.0,287800.0,-102.575,-62911.081889221816,-280443.5649164452
57,89000.0,320700.0,-99.81,-53675.47381138202,-315003.7399801911
58,86000.0,342550.0,-101.36000000000001,-67240.08027776315,-334592.62487822
59,82000.0,350650.0,-99.415,-58203.54506951796,-346432.3674763583
60,79000.0,365300.0,-98.92500000000001,-56311.90478636531,-360954.0885448601
61,75000.0,382700.0,-98.48,-56128.154737499164,-379045.0987234165
62,72000.0,392400.0,-97.815,-54066.48449498487,-389292.4679614913
63,69000.0,416550.0,-98.97500000000001,-65278.35217994158,-411376.65971352224
64,66000.0,441750.0,-95.825,-44019.20841987927,-439348.0336008562
65,64000.0,455200.0,-95.69,-45606.735379141544,-452699.4889360565
66,61000.0,482900.0,-96.93,-58132.36379028791,-475999.2513386727
67,58000.0,523250.0,-96.375,-58096.920612232105,-520095.41137022764
68,56000.0,515650.0,-96.825,-60796.89321481838,-512247.3293480255
69,54000.0,548250.0,-94.80000000000001,-46797.73086368099,-545707.1008003715
70,51000.0,564950.0,-95.84,-56773.04510004778,-562343.90724116
71,49000.0,583200.0,-93.11,-33895.60599064328,-582458.0452009308
72,47000.0,632800.0,-94.28,-48049.43470388986,-630884.5122340356
73,45000.0,663650.0,-93.81,-43078.40465431374,-662641.2493560031
74,43000.0,687400.0,-92.52000000000001,-29258.654896608212,-686435.859996787
75,42000.0,712400.0,-92.96000000000001,-36871.19614662175,-712367.1967398226
76,40000.0,695350.0,-94.905,-60025.709589145365,-689691.5168308436
77,38000.0,758300.0,-93.725,-52556.4217193987,-757920.6595309214
78,37000.0,795500.0,-93.63,-48928.45537626439,-793276.5303339625
79,35000.0,810200.0,-93.295,-50048.302411619035,-810174.7703495702
80,34000.0,862750.0,-95.28,-74324.32122769514,-842575.4734285958
81,32000.0,878000.0,-94.025,-64837.21884252207,-856531.5956760405
82,31000.0,918950.0,-93.11500000000001,-51517.29097678975,-913710.5078418001
83,30000.0,973400.0,-96.565,-107037.56619710033,-970484.4903752793
