,frequency,Z,phi,ReZ,ImZ
0,1000000.0,2694.3,85.82,105.73629929023963,2107.320672324984
1,958000.0,3025.9500000000003,89.905,2.2422306849351763,3015.869940834253
2,919000.0,1932.5500000000002,96.07,-220.2175157408659,1918.7935581847187
3,881000.0,1296.1,-61.985,521.8990815882515,-529.4274126110124
4,844000.0,961.4,26.400000000000002,272.63549460493226,-553.6351794521654
5,809000.0,1756.5,-65.435,738.4716689792976,-1590.4965399891712
6,775000.0,1114.4,-68.855,402.5894808600843,-1033.9124784292944
7,743000.0,1621.0,-65.19,684.0624917312717,-1452.0546218438922
8,712000.0,2138.8500000000004,-64.37,937.5494146370943,-1915.8840731959683
9,683000.0,2666.25,-63.91,1162.043505474935,-2386.0065282369424
10,655000.0,3009.1500000000005,-65.555,1327.8380720974842,-2765.3589103380245
11,627000.0,2859.3500000000004,-66.155,1141.4482213067104,-2665.842442035029
12,601000.0,3258.05,-57.505,1830.9335159834568,-2839.3005421077223
13,576000.0,2875.9,-55.260000000000005,979.4864252052871,-1429.0040920613042
14,552000.0,4419.3,-72.03999999999999,1187.586148418694,-4267.153395499026
15,530000.0,4570.5,-64.735,1975.2150774867862,-4172.0729945743815
16,508000.0,935.21,-74.52000000000001,541.113843703991,-312.57423626932825
17,486000.0,25923.5,28.41,22833.34421034837,12308.607750095689
18,466000.0,22801.5,24.85,20643.82127943779,9585.582458914188
19,447000.0,19603.5,20.14,18429.76517365092,6751.665629317169
20,428000.0,16284.0,14.370000000000001,15777.655407603606,4052.8377702270654
21,411000.0,13190.5,7.055,13095.294050993223,1615.4440824939293
22,394000.0,10139.0,-3.205,10121.56345827365,-565.7548578073571
23,377000.0,8554.35,-75.095,2204.9634006333417,-8256.891147173288
24,362000.0,9782.900000000001,-74.37,2822.9479605738225,-9466.040092561758
25,347000.0,10114.5,-66.93,4086.630951601167,-9393.702648942002
26,332000.0,10481.5,-77.9,2196.583596837472,-10244.974939704356
27,318000.0,12202.5,-92.64500000000001,-562.8566239192182,-12189.100027081591
28,305000.0,14619.0,-100.185,-2585.533735325391,-14386.364530062514
29,293000.0,17459.0,-104.6,-4407.456763497106,-16904.36283876704
30,280000.0,21079.0,-107.435,-6324.541183659863,-20107.81986731009
31,269000.0,24731.5,-109.195,-8100.219446892267,-23337.604020391263
32,258000.0,28757.0,-110.375,-10035.967851695528,-26949.990808435265
33,247000.0,33347.5,-110.69,-11780.662987423242,-31203.195654847914
34,237000.0,37798.5,-111.18,-13660.259354493654,-35203.23355030702
35,227000.0,43027.5,-111.13499999999999,-15546.668872705199,-40015.71789929528
36,217000.0,48632.0,-110.86,-17345.565488477972,-45407.73050896518
37,208000.0,54523.5,-110.32,-18942.979936002335,-50995.56250774942
38,200000.0,59217.5,-110.27000000000001,-20500.449041823165,-55444.2740591971
39,191000.0,66135.0,-110.055,-22599.887424081215,-62256.63086339436
40,184000.0,71320.5,-109.41,-23742.520477943428,-67449.49086464223
41,176000.0,77570.5,-109.65,-25649.342212781776,-73165.68124574074
42,169000.0,85018.5,-108.195,-26633.07509601237,-80518.97913397446
43,162000.0,91970.0,-106.91,-26915.679104217597,-87889.8006796449
44,155000.0,98495.0,-107.595,-29762.960795685118,-93972.77534559093
45,148000.0,108300.0,-107.30000000000001,-32070.389532662208,-103173.45254643746
46,142000.0,113850.0,-104.3,-28254.34951110392,-110867.27552466316
47,136000.0,119250.0,-105.905,-32499.626674971132,-115279.30181954887
48,131000.0,131350.0,-105.17,-34830.3020632251,-126951.0834656372
49,125000.0,136550.0,-102.9,-31225.126723448968,-133723.9074182858
50,120000.0,148100.0,-104.225,-36068.67404123857,-143595.21377611463
51,115000.0,157400.0,-101.29,-30743.115287277615,-153644.3157728363
52,110000.0,166450.0,-104.235,-41177.49039545741,-161231.989150193
53,106000.0,176900.0,-101.18,-34044.34268637547,-173515.92568550745
54,101000.0,185900.0,-102.035,-39116.30270335196,-181622.81607995945
55,97000.0,191650.0,-103.83000000000001,-47169.33395848068,-186196.98078727242
56,93000.0,189300.0,-103.71000000000001,-45117.6587672706,-183491.01594316738
57,89000.0,211000.0,-101.315,-42532.14441708343,-208103.73451947916
58,86000.0,225650.0,-102.765,-49163.35734210667,-220042.16882189017
59,82000.0,231100.0,-100.92,-43744.9618161674,-226554.13181898094
60,79000.0,243050.0,-100.745,-45340.66104799537,-237792.10079301137
61,75000.0,252600.0,-99.555,-41424.17327245025,-249050.58208091377
62,72000.0,262900.0,-98.58,-39433.560020358804,-260143.38663080882
63,69000.0,276250.0,-99.93,-47730.55688883425,-271209.4393087962
64,66000.0,289550.0,-96.85,-33860.44321363147,-287830.3029765616
65,64000.0,303150.0,-96.555,-34195.73774957718,-300836.0172000254
66,61000.0,315850.0,-96.915,-38508.441163907235,-312840.54759397986
67,58000.0,341150.0,-96.09,-35825.11354715172,-339701.6168516048
68,56000.0,342500.0,-97.7,-47171.67117159754,-337908.71536144614
69,54000.0,367350.0,-95.91499999999999,-37460.14249659188,-365197.05936563225
70,51000.0,370400.0,-96.285,-40902.942223050384,-368134.5439508307
71,49000.0,394600.0,-94.975,-34954.53898289305,-393846.1211861337
72,47000.0,404250.0,-94.775,-33465.38581721974,-403548.2087813058
73,45000.0,426750.0,-94.59,-33701.3735292529,-425446.81089901517
74,43000.0,457200.0,-95.14500000000001,-41643.19694552064,-455782.0641129445
75,42000.0,470250.0,-94.545,-37021.169005782256,-470207.12302806333
76,40000.0,485850.0,-93.575,-29572.03270834729,-483640.3819102715
77,38000.0,508200.0,-93.325,-28956.84135062033,-502819.7933708444
78,37000.0,523100.0,-95.805,-52494.22517281779,-517747.17028479057
79,35000.0,566050.0,-93.285,-30747.26220604622,-561116.6992721917
80,34000.0,549600.0,-91.83000000000001,-17586.045344255945,-548053.6409892027
81,32000.0,626850.0,-94.71000000000001,-51133.98487379361,-625498.2203777186
82,31000.0,616250.0,-94.975,-56251.60736818889,-612200.2096500657
83,30000.0,641150.0,-93.155,-35455.95840321118,-637337.3638449082
84,28000.0,665600.0,-96.135,-67879.50077476309,-655158.2429842323
85,27000.0,710900.0,-95.76500000000001,-63873.92018962467,-704959.7976249002
86,26000.0,771800.0,-93.505,-47209.6013844351,-758312.3056060506
87,25000.0,772050.0,-92.49000000000001,-34324.881210197505,-768978.8266784046
88,24000.0,776800.0,-97.10000000000001,-98994.31991526768,-765537.5726572851
89,23000.0,774250.0,-100.465,-138856.2832663764,-761896.3216064526
90,22000.0,838100.0,-95.485,-85333.14836191467,-836644.946578176
91,21000.0,906250.0,-93.77000000000001,-57511.535600794494,-889921.4073650595
92,20000.0,967700.0,-100.45,-166954.07835553674,-950466.483063441
93,19000.0,1020000.0,-99.66499999999999,-173428.55800979654,-1006108.7474448427
94,18000.0,1095000.0,-97.225,-139530.4091034073,-1084241.6624526978
95,17000.0,1150000.0,-101.44,-219620.4117292251,-1121776.288406609
96,16000.0,1280000.0,-100.535,-232534.20083687734,-1233880.609426142
97,15000.0,1385000.0,-96.22,-162838.5119568637,-1376131.0065402545
98,14000.0,1515000.0,-96.93,-190773.73167797626,-1512417.0921594612
99,13000.0,1565000.0,-91.75,-44560.883307206925,-1564638.6466004667
100,12000.0,1820000.0,-97.405,-235895.33025206492,-1763361.2080303044
101,11000.0,2065000.0,-97.86500000000001,-249631.1382960803,-1897667.2652790071
102,10000.0,2314600.0,-101.83,-463982.42434564553,-2269042.4766510334
103,9000.0,2605700.0,-101.785,-533779.595910182,-2550255.855454388
104,8000.0,3099350.0,-99.77000000000001,-541525.672232741,-3052512.1656491975
105,7000.0,3520500.0,-97.63,-468119.06899340753,-3500758.8748716963
106,6000.0,4377450.0,-92.71000000000001,-203186.88666266308,-4371366.412601562
107,5000.0,5372200.0,-88.99000000000001,94422.7588400515,-5362889.874779003
108,4000.0,7005700.0,-84.8,657836.301568089,-6850690.197987791
109,3000.0,8078800.0,-80.255,1491333.9255633776,-7841740.63454604
110,2000.0,13085000.0,-63.25,5455297.846870834,-10717961.36260326
111,1000.0,18505000.0,-45.61,12920068.021801323,-13252619.406262562
112,999.0,18590000.0,-44.05500000000001,13255875.446411293,-12924332.943732964
113,957.0,19510000.0,-40.07,15165737.272968631,-12701392.241221525
114,918.0,19080000.0,-38.28,14911104.716943018,-12156953.928033166
115,879.0,20500000.0,-38.78,14929050.319013938,-12412958.158358634
116,843.0,20105000.0,-36.69,15519953.827402255,-11270529.481618466
117,808.0,20880000.0,-36.29,17174840.76199498,-11943717.755968174
118,774.0,19145000.0,-32.355000000000004,16658241.111110386,-9788460.714426264
119,742.0,21390000.0,-30.1,18313932.187546533,-10310143.322198847
120,712.0,21475000.0,-28.810000000000002,18803895.073911387,-9804444.20570223
121,682.0,20740000.0,-28.115000000000002,18555890.94454699,-9909925.284339244
122,654.0,20470000.0,-26.32,18040168.84437573,-9129389.220064022
123,627.0,21505000.0,-23.575,19489153.814869873,-8426070.465729192
124,601.0,20690000.0,-22.990000000000002,16118677.63473849,-8326360.264263327
125,576.0,21785000.0,-18.365000000000002,19503040.957656145,-6537611.627367375
126,552.0,19325000.0,-21.615000000000002,13020519.83378668,-6356159.020510398
127,529.0,23785000.0,-20.625,21392371.465520114,-8465075.539115967
128,507.0,22015000.0,-19.325,20798242.583691478,-7480983.911087198
129,486.0,22890000.0,-12.719999999999999,21722328.34898182,-5455711.64573157
130,466.0,21130000.0,-15.58,20097130.07135934,-5868380.925454751
131,446.0,22055000.0,-7.51,22039496.451919027,-3092743.2622404695
132,428.0,23335000.0,-10.195,22368730.044129692,-3573388.113565242
133,410.0,20720000.0,-8.91,20091249.818826757,-3377083.2889701985
134,393.0,21760000.0,-7.140000000000001,21685839.878031537,-3397320.624637174
135,377.0,21900000.0,-8.845,21645375.30592746,-3391605.1682487894
136,361.0,21565000.0,-8.54,21320612.70696049,-3775051.879620745
137,346.0,20945000.0,-4.27,20199387.77060899,-1670281.1136172768
138,332.0,22385000.0,-2.375,21699600.287050486,-798001.9988906503
139,318.0,20735000.0,-0.86,19559998.5804609,-323219.2608148019
140,305.0,21615000.0,-5.355,21370442.416172557,-1812487.9558546315
141,292.0,20665000.0,0.215,20394522.31461391,76970.51123377086
142,280.0,20300000.0,-0.6200000000000001,19265809.960625187,-219605.58100364596
143,268.0,20180000.0,5.734999999999999,20002954.097481787,2042192.256980462
144,257.0,19105000.0,2.235,17867755.056818224,760720.2685648698
145,247.0,17350000.0,8.84,16684523.288741367,2256933.999980972
146,236.0,17280000.0,11.875,16552366.112713728,3270152.7843859596
147,227.0,19320000.0,4.305,18655269.4670219,847098.8818475669
148,217.0,18845000.0,12.185,17935289.405576322,3040085.5832901094
149,208.0,18295000.0,-0.02999999999999997,17717381.748022977,25849.87810008513
150,200.0,18640000.0,1.9449999999999998,17590555.360361055,813891.3028897941
151,191.0,18635000.0,5.865,17174554.373670332,2090831.0996311856
152,183.0,15115000.0,10.575,12357656.553371761,3010755.941579216
153,176.0,17165000.0,15.024999999999999,15534079.415634722,3991501.416619269
154,168.0,20465000.0,16.830000000000002,17859402.55306118,7791715.31153474
155,161.0,13965000.0,11.945,13631111.769450855,2694670.39533013
156,155.0,14270000.0,-2.69,11312723.606645871,-535714.274015551
157,148.0,14225000.0,17.13,9323698.211896852,3153382.6688927487
158,142.0,11085000.0,4.1850000000000005,6256789.595089207,685651.1765907283
159,136.0,12200000.0,13.47,11727412.26697271,2121393.709945035
160,131.0,14285000.0,6.275,10539941.910225388,1296993.3881270182
161,125.0,13620000.0,35.94,8698334.502560003,6586079.623583321
162,120.0,13030000.0,13.885000000000002,9355926.998685852,2241584.5941134305
163,115.0,10205600.0,36.07,6454121.872402682,5081875.347577144
164,110.0,12685000.0,27.14,7282801.045119492,2739132.5898025045
165,106.0,10781500.0,-5.029999999999999,7470527.805911861,-836629.2295003714
166,101.0,9387650.0,-21.35,5535808.813826639,-3214103.4084225455
167,97.0,9833600.0,42.94,3716827.3180023003,4112744.5084302668
168,93.0,5629300.0,42.870000000000005,2564736.588568869,3031426.1124906335
169,89.0,6686650.0,11.31,3049163.0857545016,1183841.714146752
170,85.0,6275550.0,26.225,1146842.4730915627,1668388.273876639
171,82.0,9311800.0,19.725,4236459.619499161,2155378.2946904562
172,79.0,5075300.0,-14.315000000000001,205520.0233974125,-754933.77273134
173,75.0,4433600.0,43.545,998018.9207244324,2100946.8860512683
174,72.0,4304600.0,4.175000000000001,2131687.180056543,314151.37848627736
175,69.0,3333600.0,-7.355,1115614.087134291,-396981.67964881565
176,66.0,6325300.0,26.77,2664186.069600248,1616467.7678722274
177,64.0,2245250.0,4.975,1103395.8277588263,70053.24404496924
178,61.0,9204100.0,9.115,7528775.469033297,1714099.465641649
179,58.0,1313600.0,-13.465,-477624.2904448708,-208684.7792322051
180,56.0,4103650.0,-9.6,1231034.754332393,24098.482986605115
181,54.0,814840.0,-26.17,548308.6335249413,-321479.8795696323
182,51.0,366125.0,79.82,54599.32790524181,209238.6592313748
183,49.0,366300.0,-65.665,78446.55738546725,-262038.00023625663
184,47.0,537595.0,77.255,-182812.04186157035,316182.62515613995
185,45.0,1856700.0,-21.005000000000003,1719632.5486406442,-706649.0720939499
186,43.0,1197650.0,-56.52,433175.4810845654,-698514.1536828768
187,42.0,893595.0,-50.895,499334.9333007514,-547822.6143751002
188,40.0,1963350.0,5.475,1368176.9496940486,159028.70363658387
189,38.0,2105100.0,35.265,-980322.1500912511,746378.2210894877
190,37.0,1401600.0,9.25,182351.08114342322,208040.7483881427
191,35.0,1475100.0,-99.05000000000001,-270332.6721734614,-1252817.7384734307
192,34.0,2164900.0,26.155,841642.1784613742,806063.5666136179
193,32.0,1794700.0,19.23,1021949.0966592473,622269.734944367
194,31.0,1963950.0,-17.09,198384.04464622575,-373754.1109374899
195,30.0,1785100.0,-42.644999999999996,743246.7761353764,-528038.3798368468
196,28.0,3865900.0,63.644999999999996,1022149.8498996894,2082636.7043128503
197,27.0,1924550.0,18.655,621772.3813978478,599376.3736072364
198,26.0,1587200.0,6.2700000000000005,41362.232740669395,199670.31870639243
199,25.0,3257100.0,28.955000000000002,1364955.0521239939,949180.1348115895
