wl,n
0.19077,1.277
0.19136,1.278
0.19195,1.280
0.19255,1.282
0.19315,1.283
0.19375,1.285
0.19436,1.286
0.19497,1.287
0.19558,1.289
0.19620,1.290
0.19683,1.291
0.19745,1.292
0.19808,1.293
0.19872,1.294
0.19936,1.294
0.20000,1.295
0.20065,1.296
0.20130,1.296
0.20195,1.297
0.20261,1.297
0.20328,1.297
0.20395,1.298
0.20462,1.298
0.20530,1.298
0.20598,1.298
0.20667,1.298
0.20736,1.298
0.20805,1.298
0.20875,1.298
0.20946,1.297
0.21017,1.297
0.21088,1.297
0.21160,1.297
0.21233,1.296
0.21306,1.296
0.21379,1.295
0.21453,1.295
0.21528,1.294
0.21603,1.293
0.21678,1.293
0.21754,1.292
0.21831,1.292
0.21908,1.291
0.21986,1.290
0.22064,1.290
0.22143,1.289
0.22222,1.289
0.22302,1.288
0.22383,1.287
0.22464,1.287
0.22545,1.286
0.22628,1.286
0.22711,1.285
0.22794,1.285
0.22878,1.285
0.22963,1.284
0.23048,1.284
0.23134,1.284
0.23221,1.284
0.23308,1.284
0.23396,1.284
0.23485,1.285
0.23574,1.285
0.23664,1.285
0.23755,1.286
0.23846,1.287
0.23938,1.288
0.24031,1.289
0.24125,1.290
0.24219,1.291
0.24314,1.292
0.24409,1.294
0.24506,1.296
0.24603,1.298
0.24701,1.300
0.24800,1.303
0.24900,1.305
0.25000,1.308
0.25101,1.311
0.25203,1.314
0.25306,1.318
0.25410,1.321
0.25514,1.325
0.25620,1.330
0.25726,1.334
0.25833,1.339
0.25941,1.344
0.26050,1.349
0.26160,1.354
0.26271,1.360
0.26383,1.366
0.26496,1.373
0.26609,1.379
0.26724,1.386
0.26840,1.393
0.26957,1.401
0.27074,1.408
0.27193,1.416
0.27313,1.424
0.27434,1.433
0.27556,1.441
0.27679,1.450
0.27803,1.459
0.27928,1.468
0.28054,1.478
0.28182,1.487
0.28311,1.497
0.28440,1.507
0.28571,1.517
0.28704,1.527
0.28837,1.537
0.28972,1.547
0.29108,1.557
0.29245,1.567
0.29384,1.578
0.29524,1.588
0.29665,1.597
0.29808,1.607
0.29952,1.617
0.30097,1.626
0.30244,1.635
0.30392,1.644
0.30542,1.653
0.30693,1.661
0.30846,1.669
0.31000,1.677
0.31156,1.684
0.31313,1.691
0.31472,1.697
0.31633,1.702
0.31795,1.708
0.31959,1.712
0.32124,1.717
0.32292,1.720
0.32461,1.723
0.32632,1.726
0.32804,1.728
0.32979,1.730
0.33155,1.730
0.33333,1.731
0.33514,1.731
0.33696,1.730
0.33880,1.729
0.34066,1.728
0.34254,1.726
0.34444,1.724
0.34637,1.721
0.34831,1.718
0.35028,1.715
0.35227,1.712
0.35429,1.708
0.35632,1.705
0.35838,1.701
0.36047,1.697
0.36257,1.694
0.36471,1.690
0.36686,1.687
0.36905,1.683
0.37126,1.680
0.37349,1.677
0.37576,1.675
0.37805,1.672
0.38037,1.670
0.38272,1.668
0.38509,1.667
0.38750,1.666
0.38994,1.665
0.39241,1.664
0.39490,1.664
0.39744,1.663
0.40000,1.663
0.40260,1.662
0.40523,1.662
0.40789,1.661
