wl,n
1.010,2.5489983587544
1.042,2.5413852264368
1.074,2.5346440425781
1.108,2.5282871770557
1.142,2.5226338382179
1.178,2.5172989407074
1.215,2.5124101419774
1.253,2.5079241471524
1.292,2.5038023955385
1.333,2.4999207842379
1.374,2.4964369668346
1.417,2.4931511332614
1.462,2.4900603310689
1.508,2.4872181041295
1.555,2.4846003893936
1.603,2.4821857998821
1.654,2.4798688141717
1.705,2.4777742278683
1.759,2.4757669531881
1.814,2.4739161614775
1.870,2.4722065497088
1.929,2.4705716744097
1.989,2.4690617775733
2.052,2.4676208746528
2.116,2.4662893890463
2.182,2.4650382307153
2.250,2.4638623626111
2.321,2.4627417820957
2.393,2.4617031846204
2.468,2.460712852121
2.545,2.4597811349394
2.625,2.4588929030338
2.707,2.4580562592884
2.792,2.4572579318553
2.879,2.4565043356062
2.969,2.4557838327689
3.062,2.4550944382741
3.158,2.4544340808328
3.257,2.4538006384847
3.359,2.4531919676442
3.464,2.4526059264427
3.572,2.4520403931312
3.684,2.4514884940214
3.799,2.4509534894455
3.918,2.4504290038951
4.041,2.4499136356145
4.167,2.449409816405
4.298,2.4489080313511
4.432,2.4484144125555
4.571,2.4479200066198
4.714,2.4474269515608
4.861,2.4469336263729
5.013,2.4464351657517
5.170,2.4459301239441
5.332,2.4454169889096
5.499,2.4448941934868
5.671,2.4443601244463
5.848,2.4438131296512
6.031,2.4432484369109
6.220,2.4426643031179
6.415,2.4420589064328
6.616,2.4414303527032
6.823,2.4407766803372
7.036,2.4400958637719
7.256,2.4393825481006
7.483,2.4386344151293
7.717,2.4378490448464
7.959,2.4370204569781
8.208,2.4361493348581
8.465,2.4352293139178
8.730,2.4342572750089
9.003,2.4332299530843
9.284,2.4321439333957
9.575,2.4309875865369
9.875,2.4297606157587
10.18,2.4284758058822
10.50,2.4270861218677
10.83,2.4256070846414
11.17,2.4240331753532
11.52,2.4223585631466
11.88,2.4205770849493
12.25,2.418682222519
12.63,2.4166670765244
13.03,2.4144683858478
13.44,2.4121301749811
13.86,2.4096438923346
14.29,2.4070004441241
14.74,2.404125013569
15.20,2.4010671784598
15.68,2.3977448811772
16.17,2.3942105596855
16.67,2.3904505881941
17.19,2.3863701698485
17.73,2.3819427692214
18.29,2.3771391395637
18.86,2.3720189339349
19.45,2.3664634829093
20.06,2.3604341445279
20.69,2.3538878931294
21.33,2.3468889103801
22.00,2.3391650501002
