wl,n
0.03107,8.40E-1
0.03179,8.31E-1
0.03263,8.34E-1
0.03351,8.31E-1
0.03444,8.15E-1
0.03542,8.01E-1
0.03646,7.81E-1
0.03757,7.60E-1
0.03874,7.37E-1
0.03999,7.15E-1
0.04133,6.98E-1
0.04275,6.81E-1
0.04428,6.58E-1
0.04592,6.33E-1
0.04768,6.02E-1
0.04959,5.83E-1
0.05166,5.89E-1
0.05390,6.28E-1
0.05635,6.67E-1
0.05904,7.02E-1
0.06199,7.49E-1
0.06525,7.93E-1
0.06888,8.11E-1
0.07293,7.91E-1
0.07749,7.47E-1
0.08265,7.59E-1
0.08856,7.93E-1
0.09537,8.60E-1
0.1033,8.55E-1
0.1127,8.23E-1
0.1240,1.00E0
0.1305,1.09E0
0.1378,1.19E0
0.1459,1.28E0
0.1550,1.38E0
0.1653,1.46E0
0.1771,1.55E0
0.1907,1.69E0
0.2066,1.85E0
0.2254,2.06E0
0.2480,2.25E0
0.2755,2.31E0
0.3100,2.27E0
0.3542,2.14E0
0.4133,1.74E0
0.4959,1.20E0
0.6199,1.32E0
0.8266,1.82E0
1.2399,2.69E0
2.4797,4.52E0

wl,k
0.03107,5.05E-2
0.03179,6.49E-2
0.03263,7.31E-2
0.03351,7.03E-2
0.03444,7.07E-2
0.03542,7.39E-2
0.03646,7.67E-2
0.03757,8.63E-2
0.03874,1.02E-1
0.03999,1.24E-1
0.04133,1.48E-1
0.04275,1.72E-1
0.04428,2.00E-1
0.04592,2.31E-1
0.04768,2.78E-1
0.04959,3.48E-1
0.05166,4.31E-1
0.05390,4.97E-1
0.05635,5.45E-1
0.05904,5.87E-1
0.06199,6.22E-1
0.06525,6.27E-1
0.06888,6.28E-1
0.07293,6.34E-1
0.07749,6.89E-1
0.08265,7.95E-1
0.08856,8.74E-1
0.09537,9.48E-1
0.1033,9.76E-1
0.1127,1.17E0
0.1240,1.38E0
0.1305,1.43E0
0.1378,1.49E0
0.1459,1.49E0
0.1550,1.53E0
0.1653,1.58E0
0.1771,1.64E0
0.1907,1.66E0
0.2066,1.71E0
0.2254,1.64E0
0.2480,1.54E0
0.2755,1.38E0
0.3100,1.23E0
0.3542,1.06E0
0.4133,1.04E0
0.4959,1.65E0
0.6199,2.69E0
0.8266,3.81E0
1.2399,5.04E0
2.4797,8.25E0
