Material,Материал,Формула,"Eg, эВ",Тип,Элементы,Решетка,"Постоянная решетки,нм","Плотность, г/см$^3$","M, г/моль","Тпл, К","Ткип, К",me*,me*(l),me*(t),mh*,mh*(l),mh*(t),"mu_e, см^2В$^{-1}с^{-1}","mu_h, см^2В$^{-1}с^{-1}",epsilon(0),epsilon(infty),Растворимость в воде
Diamond,Алмаз,C,5.47,I,6,D,0.35668,3.5,12.01,,,0.57,1.4,0.36,0.8,0.7,2.18,2800,2100,5.7,,
Silicon,Кремний,Si,1.1242,I,14,D,0.54311,2.329,,1678,3538,0.27,0.9163,0.1905,0.37,0.153,0.537,1450,430,11.9,,
Germanium,Германий,Ge,0.66,I,32,D,0.565791,5.323,72.63,1211.4,3106,0.12,1.6,0.024,0.23,0.043,0.376,3850,1850,16,,
Gray tin,Олово серое,Sn,0.08,I,50,D,,5.769,118.71,505,2875,0.03,,,0.15,,,2940,2990,,,
"Silicon carbide, 3C-SIC","Карбид кремния, 3C-SIC",3C-SIC,2.3,I,"6, 14",ZB,0.43596,3.21,40.1,3100,-,0.32,0.677,0.247,0.6,,,380,15,9.72,6.52,
"Silicon carbide, 4H-SIC","Карбид кремния, 4H-SIC",4H-SIC,3.3,I,"6, 14",W,"0.3073, 1.0053",3.16,40.1,3100,-,0.36,,,1,,,,,10,6.52,
"Silicon carbide, 6H-SIC","Карбид кремния, 6H-SIC",6H-SIC,3,I,"6, 14",W,"0.30730, 1.0053",3.16,40.1,3100,-,0.57,,,1,,,,,10,6.52,
Gray selenium,Селен серый,Se,1.74,I,34,Hex,,4.81,78.971,494,958,,,,,,,,,,,
Red selenium,Селен красный,Se,2.05,I,34,,,4.39,,,,,,,,,,,,,,
"Boron nitride, cubic",Нитрид бора (куб.),BN,6.36,I,"5, 7",ZB,0.36157,3.45,24.82,,,0.752,0.752,,,0.15,0.375,200,500,7.1,4.5,
